Product Name,Average Price (USD),Price Range (USD)
Wireless On-Ear Headphones,50,40 - 60
Bluetooth Item Tracker (Four-Pack),90,85 - 100
32-Inch Smart Fire TV,90,80 - 100
True Wireless Earbuds,40,30 - 50
Portable Carpet Cleaner,123,100 - 150
Cordless Vacuum Cleaner,700,600 - 800
High-Performance Blender,480,400 - 550
Espresso Machine,700,600 - 750
Soundbar,500,400 - 600
"5G Smartphone (8GB RAM, 128GB Storage)",210,200 - 220
In-Ear Wired Earphones with Mic,4,3 - 5
"Smartphone (4GB RAM, 64GB Storage)",80,75 - 85
USB-C Power Adapter (20W),19,18 - 20
Smartwatch,115,30 - 200
Power Bank,30,20 - 40
Phone Stand,18,5 - 30
Laptop Stand,30,10 - 50
Car Charger,20,10 - 30
Air Fryer,100,40 - 160
Kitchen Weighing Scale,20,5 - 40
Hand Blender,25,15 - 30
Stand Mixer,100,15 - 720
Electric Toothbrush,50,30 - 70
Portable Bluetooth Speaker,60,40 - 80
Digital Camera,500,400 - 600
Gaming Console,500,400 - 600
Wireless Mouse,25,20 - 30
Mechanical Keyboard,80,60 - 100
External Hard Drive (1TB),50,40 - 60
Noise-Canceling Headphones,300,250 - 350
Smart Thermostat,200,150 - 250
Robot Vacuum Cleaner,400,300 - 500
4K Ultra HD Smart TV (55-Inch),500,400 - 600
Wireless Charging Pad,30,20 - 40
